X_pos,Y_pos,Z_pos,X_pos_ref,Y_pos_ref,Z_pos_ref,X_vel,Y_vel,Z_vel,X_vel_ref,Y_vel_ref,Z_vel_ref,X_pos_err,X_pos_err_upper,X_pos_err_lower,Y_pos_err,Y_pos_err_upper,Y_pos_err_lower,Z_pos_err,Z_pos_err_upper,Z_pos_err_lower,X_vel_err,X_vel_err_upper,X_vel_err_lower,Y_vel_err,Y_vel_err_upper,Y_vel_err_lower,Z_vel_err,Z_vel_err_upper,Z_vel_err_lower
[0.39409615],[-0.91666055],[0.41920512],-10.16385899049034,4.300976257201554,-2.7427492301245526,[1.81506677],[-4.45440807],[2.41106312],0.0,0.0,0.0,[-12.15205013],45.04008914289579,-45.04008914289579,[10.26206305],45.04008914289579,-45.04008914289579,[-5.46239239],45.04008914289579,-45.04008914289579,[-0.20136784],9.510520490488418,-9.510520490488418,[5.84610078],,,[-2.42205834],,
[0.44118295],[-1.00048947],[0.46826848],-10.16385899049034,4.300976257201554,-2.7427492301245526,[2.35434024],[-4.19144615],[2.45316799],0.0,0.0,0.0,[-12.15797382],45.04850585757533,-45.04850585757533,[10.38109215],45.04850585757533,-45.04850585757533,[-5.50872672],45.04850585757533,-45.04850585757533,[-0.29618446],9.51288599742476,-9.51288599742476,[5.95145518],,,[-2.31671642],,
[0.48526534],[-1.09307218],[0.50490027],-10.16385899049034,4.300976257201554,-2.7427492301245526,[2.20411938],[-4.62913531],[1.83158998],0.0,0.0,0.0,[-12.15976517],45.057724176882246,-45.057724176882246,[10.4995931],45.057724176882246,-45.057724176882246,[-5.55720846],45.057724176882246,-45.057724176882246,[-0.0895675],9.515250916292228,-9.515250916292228,[5.92504743],,,[-2.42408703],,
[0.52757736],[-1.18659185],[0.53954653],-10.16385899049034,4.300976257201554,-2.7427492301245526,[2.11560106],[-4.67598384],[1.73231258],0.0,0.0,0.0,[-12.16529681],45.06774400832594,-45.06774400832594,[10.61876707],45.06774400832594,-45.06774400832594,[-5.60009531],45.06774400832594,-45.06774400832594,[-0.27658202],9.51761524752919,-9.51761524752919,[5.95869867],,,[-2.14434268],,
[0.57487757],[-1.27817236],[0.57206174],-10.16385899049034,4.300976257201554,-2.7427492301245526,[2.36501058],[-4.57902526],[1.62576054],0.0,0.0,0.0,[-12.17642452],45.078565216741296,-45.078565216741296,[10.73364489],45.078565216741296,-45.078565216741296,[-5.6472884],45.078565216741296,-45.078565216741296,[-0.55638562],9.519978991573463,-9.519978991573463,[5.74389069],,,[-2.35965444],,
[0.62722102],[-1.36182013],[0.60881076],-10.16385899049034,4.300976257201554,-2.7427492301245526,[2.61717225],[-4.18238863],[1.83745134],0.0,0.0,0.0,[-12.18719453],45.09018762436011,-45.09018762436011,[10.84975467],45.09018762436011,-45.09018762436011,[-5.69468342],45.09018762436011,-45.09018762436011,[-0.53850072],9.522342148862332,-9.522342148862332,[5.8054893],,,[-2.36975119],,
[0.67672877],[-1.44913275],[0.64566037],-10.16385899049034,4.300976257201554,-2.7427492301245526,[2.47538735],[-4.36563124],[1.84248017],0.0,0.0,0.0,[-12.19132929],45.102611010893796,-45.102611010893796,[10.96694333],45.102611010893796,-45.102611010893796,[-5.73806984],45.102611010893796,-45.102611010893796,[-0.2067377],9.524704719832531,-9.524704719832531,[5.85943295],,,[-2.16932066],,
[0.72112976],[-1.53976757],[0.68567586],-10.16385899049034,4.300976257201554,-2.7427492301245526,[2.22004971],[-4.53174078],[2.00077473],0.0,0.0,0.0,[-12.20660964],45.11583511362721,-45.11583511362721,[11.07717766],45.11583511362721,-45.11583511362721,[-5.79088118],45.11583511362721,-45.11583511362721,[-0.76401787],9.527066704920257,-9.527066704920257,[5.51171648],,,[-2.64056744],,
[0.77064934],[-1.62847428],[0.72912455],-10.16385899049034,4.300976257201554,-2.7427492301245526,[2.4759792],[-4.43533545],[2.17243437],0.0,0.0,0.0,[-12.2141872],45.12985962752376,-45.12985962752376,[11.18935494],45.12985962752376,-45.12985962752376,[-5.84200286],45.12985962752376,-45.12985962752376,[-0.3788778],9.52942810456116,-9.52942810456116,[5.60886396],,,[-2.55608397],,
[0.81749505],[-1.71823145],[0.77917429],-10.16385899049034,4.300976257201554,-2.7427492301245526,[2.34228538],[-4.48785873],[2.50248684],0.0,0.0,0.0,[-12.21093148],45.14468420534136,-45.14468420534136,[11.30223321],45.14468420534136,-45.14468420534136,[-5.89313315],45.14468420534136,-45.14468420534136,[0.16278606],9.53178891919036,-9.53178891919036,[5.64391359],,,[-2.55651453],,
[0.86352922],[-1.80604553],[0.83440308],-10.16385899049034,4.300976257201554,-2.7427492301245526,[2.30170815],[-4.39070398],[2.76143975],0.0,0.0,0.0,[-12.21023939],45.160308457759655,-45.160308457759655,[11.41577041],45.160308457759655,-45.160308457759655,[-5.938385],45.160308457759655,-45.160308457759655,[0.03460425],9.53414914924243,-9.53414914924243,[5.67685998],,,[-2.26259208],,
[0.91242064],[-1.8948949],[0.88975419],-10.16385899049034,4.300976257201554,-2.7427492301245526,[2.44457139],[-4.44246844],[2.76755558],0.0,0.0,0.0,[-12.21182534],45.176731953517816,-45.176731953517816,[11.52800709],45.176731953517816,-45.176731953517816,[-5.98162998],45.176731953517816,-45.176731953517816,[-0.07929736],9.536508795151407,-9.536508795151407,[5.61183379],,,[-2.16224938],,
[0.96178803],[-1.98380323],[0.94442017],-10.16385899049034,4.300976257201554,-2.7427492301245526,[2.46836928],[-4.44541653],[2.73329904],0.0,0.0,0.0,[-12.20566262],45.19395421956346,-45.19395421956346,[11.63794081],45.19395421956346,-45.19395421956346,[-6.03086503],45.19395421956346,-45.19395421956346,[0.30813616],9.538867857350795,-9.538867857350795,[5.49668597],,,[-2.46175227],,
[1.00747745],[-2.07325452],[1.0032731],-10.16385899049034,4.300976257201554,-2.7427492301245526,[2.28447105],[-4.47256415],[2.94264626],0.0,0.0,0.0,[-12.19664606],45.21197474121206,-45.21197474121206,[11.74566299],45.21197474121206,-45.21197474121206,[-6.08369106],45.21197474121206,-45.21197474121206,[0.45082788],9.54122633627356,-9.54122633627356,[5.38610922],,,[-2.64130146],,
[1.04323022],[-2.16782005],[1.05775104],-10.16385899049034,4.300976257201554,-2.7427492301245526,[1.78763848],[-4.72827657],[2.72389692],0.0,0.0,0.0,[-12.1886269],45.23079296231714,-45.23079296231714,[11.85283236],45.23079296231714,-45.23079296231714,[-6.13573142],45.23079296231714,-45.23079296231714,[0.400958],9.543584232352128,-9.543584232352128,[5.35846842],,,[-2.60201803],,
[1.08738528],[-2.26331489],[1.10460661],-10.16385899049034,4.300976257201554,-2.7427492301245526,[2.20775322],[-4.77474212],[2.34277884],0.0,0.0,0.0,[-12.17510616],45.25040828545083,-45.25040828545083,[11.95852868],45.25040828545083,-45.25040828545083,[-6.18775228],45.25040828545083,-45.25040828545083,[0.67603688],9.545941546018401,-9.545941546018401,[5.28481608],,,[-2.60104285],,
